Etnia,Religião,Xenofobia,Capacitismo,Sexismo,Politica,Assedio,Homofobia,Aparencia,Outros,Calunia,Palavrão
,,,,,,,,,,,cuzudo
,,,,,,,,,,,escrota
,,,,,,,,,,,escroto
,,,,,,,,,,,esporrada
,,,,,,,,,,,esporrado
,,,,,,,,,,,esporro
,,,,,,,,,,,foda
,,,,,,,,,,,fodao
,,,,,,,,,,,fodão
,,,,,,,,,,,fode
,,,,,,,,,,,fodi
,,,,,,,,,,,fodida
,,,,,,,,,,,fodido
,,,,,,,,,,,fornica
,,,,,,,,,,,fornição
,,,,,,,,,,,fudendo
,,,,,,,,,,,fudeção
,,,,,,,,,,,fudida
,,,,,,,,,,,fudido
,,,,,,,,,,,furada
,,,,,,,,,,,furado
,,,,,,,,,,,furnica
,,,,,,,,,,,furnicar
,,,,,,,,,,,furo
,,,,,,,,,,,furona
,,,,,,,,,,,furão
,,,,,,,,,,,gaiata
,,,,,,,,,,,gaiato
,,,,,,,,,,,gay
,,,,,,,,,,,gilete
,,,,,,,,,,,gonorrea
,,,,,,,,,,,gonorreia
,,,,,,,,,,,gonorréia
,,,,,,,,,,,gosmenta
,,,,,,,,,,,gosmento
,,,,,,,,,,,grelinho
,,,,,,,,,,,grelo
,,,,,,,,,,,homo-sexual
,,,,,,,,,,,homosexual
,,,,,,,,,,,homosexualismo
,,,,,,,,,,,homossexual
,,,,,,,,,,,homossexualismo
,,,,,,,,,,,iscrota
,,,,,,,,,,,iscroto
,,,,,,,,,,,lesbica
,,,,,,,,,,,lésbica
,,,,,,,,,,,machona
,,,,,,,,,,,masturba
,,,,,,,,,,,mocrea
,,,,,,,,,,,mocreia
,,,,,,,,,,,mocréia
,,,,,,,,,,,pau
,,,,,,,,,,,pemba
,,,,,,,,,,,pentelha
,,,,,,,,,,,pentelho
,,,,,,,,,,,perereca
,,,,,,,,,,,peru
,,,,,,,,,,,pica
,,,,,,,,,,,picao
,,,,,,,,,,,picão
,,,,,,,,,,,pinto
,,,,,,,,,,,pintudo
,,,,,,,,,,,pintão
,,,,,,,,,,,piranha
,,,,,,,,,,,piroca
,,,,,,,,,,,piroco
,,,,,,,,,,,piru
,,,,,,,,,,,porra
,,,,,,,,,,,prega
,,,,,,,,,,,prequito
,,,,,,,,,,,priquito
,,,,,,,,,,,prostibulo
,,,,,,,,,,,prostituta
,,,,,,,,,,,prostituto
,,,,,,,,,,,punheta
,,,,,,,,,,,punhetao
,,,,,,,,,,,punhetão
,,,,,,,,,,,puta
,,,,,,,,,,,puto
,,,,,,,,,,,penis
,,,,,,,,,,,pênis
,,,,,,,,,,,rabao
,,,,,,,,,,,rabão
,,,,,,,,,,,rabo
,,,,,,,,,,,rabuda
,,,,,,,,,,,rabudao
,,,,,,,,,,,rabudão
,,,,,,,,,,,rabudo
,,,,,,,,,,,rabudona
,,,,,,,,,,,racha
,,,,,,,,,,,rachada
,,,,,,,,,,,rachadao
,,,,,,,,,,,rachadinha
,,,,,,,,,,,rachadinho
,,,,,,,,,,,rachado
,,,,,,,,,,,rola
,,,,,,,,,,,rolinha
,,,,,,,,,,,rosca
,,,,,,,,,,,sacana
,,,,,,,,,,,safada
,,,,,,,,,,,safado
,,,,,,,,,,,sapatao
,,,,,,,,,,,sapatão
,,,,,,,,,,,sifilis
,,,,,,,,,,,sífilis
,,,,,,,,,,,siririca
,,,,,,,,,,,tarada
,,,,,,,,,,,tarado
,,,,,,,,,,,testuda
,,,,,,,,,,,tesuda
,,,,,,,,,,,tesudo
,,,,,,,,,,,tezao
,,,,,,,,,,,tezuda
,,,,,,,,,,,tezudo
,,,,,,,,,,,traveco
,,,,,,,,,,,trocha
,,,,,,,,,,,trolha
,,,,,,,,,,,vaca
,,,,,,,,,,,vadia
,,,,,,,,,,,vagal
,,,,,,,,,,,vagabunda
,,,,,,,,,,,vagabundo
,,,,,,,,,,,vagina
,,,,,,,,,,,veada
,,,,,,,,,,,veadao
,,,,,,,,,,,veado
,,,,,,,,,,,viada
,,,,,,,,,,,viadagem
,,,,,,,,,,,viadao
,,,,,,,,,,,viadão
,,,,,,,,,,,viado
,,,,,,,,,,,viadão
,,,,,,,,,,,víado
,,,,,,,,,,,xana
,,,,,,,,,,,xaninha
,,,,,,,,,,,xavasca
,,,,,,,,,,,xerereca
,,,,,,,,,,,xexeca
,,,,,,,,,,,xibiu
,,,,,,,,,,,xibumba
,,,,,,,,,,,xiíta
,,,,,,,,,,,xochota
,,,,,,,,,,,xota
,,,,,,,,,,,xoxota
